classifier,feature_set,fold,n_train,n_test,auc,bal_acc,f1
logreg,egemaps,0,291,78,0.7900815217391305,0.6487771739130435,0.52
logreg,egemaps,1,291,78,0.6467391304347827,0.6256793478260869,0.5263157894736842
logreg,egemaps,2,295,74,0.9375000000000001,0.8779761904761905,0.8615384615384616
logreg,egemaps,3,305,64,0.9521484375,0.796875,0.8311688311688312
logreg,egemaps,4,294,75,0.9384498480243161,0.8932370820668694,0.8620689655172413
rf,egemaps,0,291,78,0.8705842391304348,0.7017663043478262,0.6
rf,egemaps,1,291,78,0.7965353260869564,0.45516304347826086,0.0975609756097561
rf,egemaps,2,295,74,0.9624255952380952,0.9136904761904762,0.9032258064516129
rf,egemaps,3,305,64,0.97705078125,0.90625,0.9117647058823529
rf,egemaps,4,294,75,0.9779635258358663,0.8894376899696048,0.8679245283018868
gbm,egemaps,0,291,78,0.8519021739130436,0.7642663043478262,0.7037037037037037
gbm,egemaps,1,291,78,0.8254076086956522,0.6847826086956521,0.5925925925925926
gbm,egemaps,2,295,74,0.9627976190476191,0.9136904761904762,0.9032258064516129
gbm,egemaps,3,305,64,0.9775390625,0.890625,0.8923076923076924
gbm,egemaps,4,294,75,0.9498480243161095,0.8647416413373861,0.8275862068965517
xgb,egemaps,0,291,78,0.8872282608695652,0.7065217391304348,0.6153846153846154
xgb,egemaps,1,291,78,0.8104619565217391,0.6114130434782609,0.47058823529411764
xgb,egemaps,2,295,74,0.953125,0.8898809523809523,0.875
xgb,egemaps,3,305,64,0.9736328125,0.890625,0.8955223880597015
xgb,egemaps,4,294,75,0.9635258358662614,0.8753799392097263,0.8421052631578947
logreg,w2v2,0,291,78,0.8729619565217391,0.7846467391304348,0.7368421052631579
logreg,w2v2,1,291,78,0.9096467391304348,0.8349184782608696,0.8059701492537313
logreg,w2v2,2,295,74,0.921875,0.8430059523809523,0.819672131147541
logreg,w2v2,3,305,64,0.8408203125,0.75,0.7777777777777778
logreg,w2v2,4,294,75,0.9430091185410334,0.9038753799392097,0.8771929824561403
rf,w2v2,0,291,78,0.6226222826086957,0.5570652173913043,0.42857142857142855
rf,w2v2,1,291,78,0.7703804347826088,0.6800271739130435,0.5769230769230769
rf,w2v2,2,295,74,0.8191964285714286,0.7336309523809523,0.6666666666666666
rf,w2v2,3,305,64,0.83349609375,0.75,0.7419354838709677
rf,w2v2,4,294,75,0.8354863221884499,0.7401215805471124,0.6779661016949152
gbm,w2v2,0,291,78,0.7255434782608696,0.6474184782608696,0.5454545454545454
gbm,w2v2,1,291,78,0.8240489130434783,0.6942934782608696,0.6206896551724138
gbm,w2v2,2,295,74,0.8489583333333334,0.7217261904761905,0.6545454545454545
gbm,w2v2,3,305,64,0.7236328125,0.65625,0.6333333333333333
gbm,w2v2,4,294,75,0.9027355623100304,0.803951367781155,0.7547169811320755
xgb,w2v2,0,291,78,0.7724184782608696,0.6630434782608696,0.5714285714285714
xgb,w2v2,1,291,78,0.8586956521739131,0.7160326086956521,0.6428571428571429
xgb,w2v2,2,295,74,0.8191964285714286,0.7217261904761905,0.6545454545454545
xgb,w2v2,3,305,64,0.7939453125,0.703125,0.6885245901639344
xgb,w2v2,4,294,75,0.8989361702127661,0.8252279635258359,0.7843137254901961
